client_id,fiscal_quarter,allocated_overhead
C1020,2025-Q4,3836.99
C1021,2024-Q1,3041.1
C1021,2024-Q2,3325.94
C1021,2024-Q3,2186.25
C1021,2024-Q4,3544.93
C1021,2025-Q1,3706.06
C1021,2025-Q2,2340.84
C1021,2025-Q3,3091.92
C1021,2025-Q4,3137.31
C1022,2024-Q1,3410.21
C1022,2024-Q2,3895.47
C1022,2024-Q3,3582.14
C1022,2024-Q4,4366.8
C1022,2025-Q1,3251.78
C1022,2025-Q2,3362.6
C1022,2025-Q3,2675.69
C1022,2025-Q4,2875.35
C1023,2024-Q1,4124.2
C1023,2024-Q2,4819.31
C1023,2024-Q3,3291.92
C1023,2024-Q4,3719.96
C1023,2025-Q1,3430.86
C1023,2025-Q2,3541.44
C1023,2025-Q3,3687.35
C1023,2025-Q4,5277.44
C1024,2024-Q1,1921.11
C1024,2024-Q2,2737.78
C1024,2024-Q3,2592.08
C1024,2024-Q4,1991.33
C1024,2025-Q1,2332.14
C1024,2025-Q2,3139.39
C1024,2025-Q3,2823.02
C1024,2025-Q4,2383.96
C1025,2024-Q1,2570.75
C1025,2024-Q2,2784.88
C1025,2024-Q3,3230.74
C1025,2024-Q4,2964.36
C1025,2025-Q1,1126.62
C1025,2025-Q2,2896.43
C1025,2025-Q3,3217.9
C1025,2025-Q4,2870.85
C1026,2024-Q1,2999.93
C1026,2024-Q2,3558.96
C1026,2024-Q3,2980.96
C1026,2024-Q4,3559.43
C1026,2025-Q1,2661.47
C1026,2025-Q2,3945.02
C1026,2025-Q3,3348.95
C1026,2025-Q4,3784.02
C1027,2024-Q1,3956.36
C1027,2024-Q2,4267.32
C1027,2024-Q3,4604.42
C1027,2024-Q4,3411.11
C1027,2025-Q1,5234.95
C1027,2025-Q2,5420.67
C1027,2025-Q3,5051.55
C1027,2025-Q4,4793.12
C1028,2024-Q1,3790.24
C1028,2024-Q2,3312.79
C1028,2024-Q3,2766.66
C1028,2024-Q4,1856.45
C1028,2025-Q1,3824.46
C1028,2025-Q2,3093.11
C1028,2025-Q3,4502.1
C1028,2025-Q4,3649.1
C1029,2024-Q1,2354.32
C1029,2024-Q2,2836.98
C1029,2024-Q3,3594.95
C1029,2024-Q4,3370.17
C1029,2025-Q1,3218.26
C1029,2025-Q2,3161.59
C1029,2025-Q3,2945.92
C1029,2025-Q4,2516.04
C1030,2024-Q1,3591.6
C1030,2024-Q2,2407.21
C1030,2024-Q3,4029.69
C1030,2024-Q4,3477.02
C1030,2025-Q1,3351.39
C1030,2025-Q2,3574.67
C1030,2025-Q3,3273.0
C1030,2025-Q4,4239.13
C1031,2024-Q1,4412.7
C1031,2024-Q2,5227.34
C1031,2024-Q3,4050.26
C1031,2024-Q4,5926.89
C1031,2025-Q1,3383.8
C1031,2025-Q2,5040.13
C1031,2025-Q3,4761.04
C1031,2025-Q4,4124.6
C1032,2024-Q1,4541.37
C1032,2024-Q2,4468.41
C1032,2024-Q3,4664.46
C1032,2024-Q4,4831.84
C1032,2025-Q1,4540.53
C1032,2025-Q2,3225.23
C1032,2025-Q3,6024.2
C1032,2025-Q4,6862.16
C1033,2024-Q1,2902.42
C1033,2024-Q2,2947.88
C1033,2024-Q3,2190.5
C1033,2024-Q4,3063.02
C1033,2025-Q1,2696.98
C1033,2025-Q2,2456.77
C1033,2025-Q3,3165.23
C1033,2025-Q4,2704.13
C1034,2024-Q1,3722.72
C1034,2024-Q2,3225.1
C1034,2024-Q3,4257.94
C1034,2024-Q4,3236.14
C1034,2025-Q1,2938.93
C1034,2025-Q2,2393.12
C1034,2025-Q3,3229.16
C1034,2025-Q4,3661.05
C1035,2024-Q1,3231.43
C1035,2024-Q2,4932.2
C1035,2024-Q3,3884.05
C1035,2024-Q4,5003.44
C1035,2025-Q1,4742.82
C1035,2025-Q2,3489.46
C1035,2025-Q3,5149.82
C1035,2025-Q4,3799.5
C1036,2024-Q1,3184.96
C1036,2024-Q2,2510.56
C1036,2024-Q3,3610.17
C1036,2024-Q4,2676.69
C1036,2025-Q1,2504.03
C1036,2025-Q2,3110.21
C1036,2025-Q3,3027.79
C1036,2025-Q4,2596.14
C1037,2024-Q1,3997.35
C1037,2024-Q2,4933.58
C1037,2024-Q3,5158.91
C1037,2024-Q4,3809.28
C1037,2025-Q1,4165.49
C1037,2025-Q2,4771.91
C1037,2025-Q3,4187.47
C1037,2025-Q4,4667.43
C1038,2024-Q1,4121.01
C1038,2024-Q2,3983.14
C1038,2024-Q3,2341.64
C1038,2024-Q4,3987.28
C1038,2025-Q1,3838.07
C1038,2025-Q2,3997.88
C1038,2025-Q3,3723.51
C1038,2025-Q4,3645.79
C1039,2024-Q1,5560.9
C1039,2024-Q2,4071.6
C1039,2024-Q3,3405.3
C1039,2024-Q4,6205.08
C1039,2025-Q1,4696.94
C1039,2025-Q2,4420.15
C1039,2025-Q3,6740.89
C1039,2025-Q4,5451.68
