engagement_id,client_id,engagement_type,start_date,end_date,duration_weeks,negotiated_fee,standard_value_at_list_rates,team_size
E10065,C1032,Regulatory Compliance,2024-11-01,2025-05-02,26,340684.42,486996.09,9
E10066,C1033,Regulatory Compliance,2024-08-01,2025-01-30,26,409249.4,449544.87,11
E10067,C1034,Risk & Controls Review,2024-06-01,2024-06-29,4,34441.27,47631.87,11
E10068,C1034,Internal Controls Testing,2023-06-01,2024-01-11,32,582746.81,549568.8,8
E10069,C1035,ESG Reporting Advisory,2025-10-01,2026-02-25,21,286363.52,363970.46,11
E10070,C1035,Internal Controls Testing,2024-06-01,2024-12-07,27,419841.14,541719.94,10
E10071,C1035,Risk & Controls Review,2025-01-01,2025-07-30,30,369594.19,477083.78,11
E10072,C1036,Forensic Accounting,2025-01-01,2025-05-21,20,303890.39,393853.7,12
E10073,C1037,Forensic Accounting,2024-02-01,2024-09-12,32,498948.62,600321.35,11
E10074,C1037,Audit Support,2024-05-01,2024-11-13,28,378216.41,418677.39,11
E10075,C1037,M&A Advisory,2023-11-01,2024-01-03,9,165448.67,172590.98,13
E10076,C1038,Internal Controls Testing,2024-10-01,2025-06-03,35,416041.39,508615.75,10
E10077,C1038,Audit Support,2025-04-01,2025-10-14,28,341239.81,430479.31,10
E10078,C1039,Forensic Accounting,2024-11-01,2025-02-14,15,246543.45,278561.65,11
E10079,C1039,Tax Advisory,2025-05-01,2025-09-18,20,274462.16,408977.76,11
E10080,C1039,M&A Advisory,2025-09-01,2025-09-29,4,81565.25,83287.53,12
E10081,C1039,Audit Support,2023-01-01,2023-06-18,24,383135.03,425919.77,13
