time_entry_id,engagement_id,client_id,staff_id,staff_level,week_start_date,hours_logged,billing_rate_per_hr,cost_rate_per_hr,billed_amount,cost_amount
T100077,E10001,C1000,S1051,Manager,2026-01-07,1.7,250,110,425.0,187.0
T100078,E10001,C1000,S1051,Manager,2026-01-14,2.0,250,110,500.0,220.0
T100079,E10001,C1000,S1051,Manager,2026-01-21,1.7,250,110,425.0,187.0
T100080,E10001,C1000,S1051,Manager,2026-01-28,1.2,250,110,300.0,132.0
T100081,E10001,C1000,S1051,Manager,2026-02-04,1.8,250,110,450.0,198.0
T100082,E10001,C1000,S1051,Manager,2026-02-11,2.0,250,110,500.0,220.0
T100083,E10001,C1000,S1051,Manager,2026-02-18,1.0,250,110,250.0,110.0
T100084,E10001,C1000,S1051,Manager,2026-02-25,3.7,250,110,925.0,407.0
T100085,E10001,C1000,S1051,Manager,2026-03-04,1.1,250,110,275.0,121.0
T100086,E10001,C1000,S1051,Manager,2026-03-11,3.6,250,110,900.0,396.0
T100087,E10001,C1000,S1051,Manager,2026-03-25,0.9,250,110,225.0,99.0
T100088,E10001,C1000,S1051,Manager,2026-04-08,2.0,250,110,500.0,220.0
T100089,E10001,C1000,S1051,Manager,2026-04-15,1.3,250,110,325.0,143.0
T100090,E10001,C1000,S1051,Manager,2026-04-22,1.8,250,110,450.0,198.0
T100091,E10001,C1000,S1080,Manager,2025-10-08,3.4,250,110,850.0,374.0
T100092,E10001,C1000,S1080,Manager,2025-10-15,2.5,250,110,625.0,275.0
T100093,E10001,C1000,S1080,Manager,2025-10-22,3.8,250,110,950.0,418.0
T100094,E10001,C1000,S1080,Manager,2025-11-05,3.0,250,110,750.0,330.0
T100095,E10001,C1000,S1080,Manager,2025-11-12,2.9,250,110,725.0,319.0
T100096,E10001,C1000,S1080,Manager,2025-11-19,1.8,250,110,450.0,198.0
T100097,E10001,C1000,S1080,Manager,2025-11-26,1.7,250,110,425.0,187.0
T100098,E10001,C1000,S1080,Manager,2025-12-03,2.5,250,110,625.0,275.0
T100099,E10001,C1000,S1080,Manager,2025-12-10,2.7,250,110,675.0,297.0
T100100,E10001,C1000,S1080,Manager,2025-12-17,2.3,250,110,575.0,253.0
T100101,E10001,C1000,S1080,Manager,2025-12-24,1.9,250,110,475.0,209.0
T100102,E10001,C1000,S1080,Manager,2026-01-07,1.8,250,110,450.0,198.0
T100103,E10001,C1000,S1080,Manager,2026-01-14,4.3,250,110,1075.0,473.0
T100104,E10001,C1000,S1080,Manager,2026-01-28,2.4,250,110,600.0,264.0
T100105,E10001,C1000,S1080,Manager,2026-02-04,2.3,250,110,575.0,253.0
T100106,E10001,C1000,S1080,Manager,2026-02-11,1.6,250,110,400.0,176.0
T100107,E10001,C1000,S1080,Manager,2026-02-18,2.4,250,110,600.0,264.0
T100108,E10001,C1000,S1080,Manager,2026-02-25,3.0,250,110,750.0,330.0
T100109,E10001,C1000,S1080,Manager,2026-03-04,2.2,250,110,550.0,242.0
T100110,E10001,C1000,S1080,Manager,2026-03-11,3.0,250,110,750.0,330.0
T100111,E10001,C1000,S1080,Manager,2026-03-18,2.8,250,110,700.0,308.0
T100112,E10001,C1000,S1080,Manager,2026-04-01,1.1,250,110,275.0,121.0
T100113,E10001,C1000,S1080,Manager,2026-04-08,3.2,250,110,800.0,352.0
T100114,E10001,C1000,S1080,Manager,2026-04-15,2.7,250,110,675.0,297.0
T100115,E10001,C1000,S1080,Manager,2026-04-22,0.6,250,110,150.0,66.0
T100116,E10001,C1000,S1067,Manager,2025-10-01,3.6,250,110,900.0,396.0
T100117,E10001,C1000,S1067,Manager,2025-10-08,1.6,250,110,400.0,176.0
T100118,E10001,C1000,S1067,Manager,2025-10-15,3.1,250,110,775.0,341.0
T100119,E10001,C1000,S1067,Manager,2025-10-22,2.1,250,110,525.0,231.0
T100120,E10001,C1000,S1067,Manager,2025-11-05,2.8,250,110,700.0,308.0
T100121,E10001,C1000,S1067,Manager,2025-11-12,1.9,250,110,475.0,209.0
T100122,E10001,C1000,S1067,Manager,2025-11-19,2.3,250,110,575.0,253.0
T100123,E10001,C1000,S1067,Manager,2025-11-26,1.9,250,110,475.0,209.0
T100124,E10001,C1000,S1067,Manager,2025-12-03,1.3,250,110,325.0,143.0
T100125,E10001,C1000,S1067,Manager,2025-12-10,1.4,250,110,350.0,154.0
T100126,E10001,C1000,S1067,Manager,2025-12-17,2.4,250,110,600.0,264.0
T100127,E10001,C1000,S1067,Manager,2025-12-24,3.8,250,110,950.0,418.0
T100128,E10001,C1000,S1067,Manager,2025-12-31,2.4,250,110,600.0,264.0
T100129,E10001,C1000,S1067,Manager,2026-01-14,1.7,250,110,425.0,187.0
T100130,E10001,C1000,S1067,Manager,2026-01-28,2.4,250,110,600.0,264.0
T100131,E10001,C1000,S1067,Manager,2026-02-04,3.5,250,110,875.0,385.0
T100132,E10001,C1000,S1067,Manager,2026-02-11,3.0,250,110,750.0,330.0
T100133,E10001,C1000,S1067,Manager,2026-02-18,2.7,250,110,675.0,297.0
T100134,E10001,C1000,S1067,Manager,2026-02-25,2.0,250,110,500.0,220.0
T100135,E10001,C1000,S1067,Manager,2026-03-04,3.0,250,110,750.0,330.0
T100136,E10001,C1000,S1067,Manager,2026-03-11,1.7,250,110,425.0,187.0
T100137,E10001,C1000,S1067,Manager,2026-03-18,2.7,250,110,675.0,297.0
T100138,E10001,C1000,S1067,Manager,2026-04-01,1.0,250,110,250.0,110.0
T100139,E10001,C1000,S1067,Manager,2026-04-08,2.4,250,110,600.0,264.0
T100140,E10001,C1000,S1067,Manager,2026-04-15,3.3,250,110,825.0,363.0
T100141,E10001,C1000,S1067,Manager,2026-04-22,1.2,250,110,300.0,132.0
T100142,E10001,C1000,S1095,Senior Associate,2025-10-01,8.9,180,85,1602.0,756.5
T100143,E10001,C1000,S1095,Senior Associate,2025-10-08,12.3,180,85,2214.0,1045.5
T100144,E10001,C1000,S1095,Senior Associate,2025-10-15,3.6,180,85,648.0,306.0
T100145,E10001,C1000,S1095,Senior Associate,2025-10-29,4.7,180,85,846.0,399.5
T100146,E10001,C1000,S1095,Senior Associate,2025-11-05,2.1,180,85,378.0,178.5
T100147,E10001,C1000,S1095,Senior Associate,2025-11-19,7.7,180,85,1386.0,654.5
T100148,E10001,C1000,S1095,Senior Associate,2025-11-26,7.2,180,85,1296.0,612.0
T100149,E10001,C1000,S1095,Senior Associate,2025-12-10,1.6,180,85,288.0,136.0
T100150,E10001,C1000,S1095,Senior Associate,2025-12-24,10.0,180,85,1800.0,850.0
T100151,E10001,C1000,S1095,Senior Associate,2025-12-31,8.2,180,85,1476.0,697.0
T100152,E10001,C1000,S1095,Senior Associate,2026-01-14,10.0,180,85,1800.0,850.0
T100153,E10001,C1000,S1095,Senior Associate,2026-01-21,9.3,180,85,1674.0,790.5
T100154,E10001,C1000,S1095,Senior Associate,2026-01-28,11.2,180,85,2016.0,952.0
T100155,E10001,C1000,S1095,Senior Associate,2026-02-04,7.6,180,85,1368.0,646.0
T100156,E10001,C1000,S1095,Senior Associate,2026-02-18,9.5,180,85,1710.0,807.5
T100157,E10001,C1000,S1095,Senior Associate,2026-02-25,5.6,180,85,1008.0,476.0
T100158,E10001,C1000,S1095,Senior Associate,2026-03-04,7.2,180,85,1296.0,612.0
T100159,E10001,C1000,S1095,Senior Associate,2026-03-11,8.2,180,85,1476.0,697.0
T100160,E10001,C1000,S1095,Senior Associate,2026-03-25,3.1,180,85,558.0,263.5
T100161,E10001,C1000,S1095,Senior Associate,2026-04-01,11.2,180,85,2016.0,952.0
T100162,E10001,C1000,S1095,Senior Associate,2026-04-08,4.0,180,85,720.0,340.0
T100163,E10001,C1000,S1095,Senior Associate,2026-04-15,8.4,180,85,1512.0,714.0
T100164,E10001,C1000,S1095,Senior Associate,2026-04-22,7.6,180,85,1368.0,646.0
T100165,E10001,C1000,S1103,Senior Associate,2025-10-01,5.0,180,85,900.0,425.0
T100166,E10001,C1000,S1103,Senior Associate,2025-10-15,9.0,180,85,1620.0,765.0
T100167,E10001,C1000,S1103,Senior Associate,2025-10-22,9.5,180,85,1710.0,807.5
T100168,E10001,C1000,S1103,Senior Associate,2025-11-12,9.6,180,85,1728.0,816.0
T100169,E10001,C1000,S1103,Senior Associate,2025-11-19,7.3,180,85,1314.0,620.5
T100170,E10001,C1000,S1103,Senior Associate,2025-11-26,9.4,180,85,1692.0,799.0
T100171,E10001,C1000,S1103,Senior Associate,2025-12-03,9.1,180,85,1638.0,773.5
T100172,E10001,C1000,S1103,Senior Associate,2025-12-24,9.6,180,85,1728.0,816.0
T100173,E10001,C1000,S1103,Senior Associate,2026-01-07,4.3,180,85,774.0,365.5
T100174,E10001,C1000,S1103,Senior Associate,2026-01-14,6.4,180,85,1152.0,544.0
T100175,E10001,C1000,S1103,Senior Associate,2026-01-21,13.0,180,85,2340.0,1105.0
T100176,E10001,C1000,S1103,Senior Associate,2026-02-04,1.4,180,85,252.0,119.0
T100177,E10001,C1000,S1103,Senior Associate,2026-02-11,11.9,180,85,2142.0,1011.5
T100178,E10001,C1000,S1103,Senior Associate,2026-02-18,9.7,180,85,1746.0,824.5
T100179,E10001,C1000,S1103,Senior Associate,2026-02-25,1.4,180,85,252.0,119.0
T100180,E10001,C1000,S1103,Senior Associate,2026-03-04,1.5,180,85,270.0,127.5
T100181,E10001,C1000,S1103,Senior Associate,2026-03-11,11.7,180,85,2106.0,994.5
T100182,E10001,C1000,S1103,Senior Associate,2026-03-18,5.4,180,85,972.0,459.0
T100183,E10001,C1000,S1103,Senior Associate,2026-04-01,9.2,180,85,1656.0,782.0
T100184,E10001,C1000,S1103,Senior Associate,2026-04-08,10.0,180,85,1800.0,850.0
T100185,E10001,C1000,S1103,Senior Associate,2026-04-15,10.5,180,85,1890.0,892.5
T100186,E10001,C1000,S1103,Senior Associate,2026-04-22,9.6,180,85,1728.0,816.0
T100187,E10001,C1000,S1110,Senior Associate,2025-10-01,5.3,180,85,954.0,450.5
T100188,E10001,C1000,S1110,Senior Associate,2025-10-08,8.0,180,85,1440.0,680.0
T100189,E10001,C1000,S1110,Senior Associate,2025-10-15,5.2,180,85,936.0,442.0
T100190,E10001,C1000,S1110,Senior Associate,2025-10-22,7.9,180,85,1422.0,671.5
T100191,E10001,C1000,S1110,Senior Associate,2025-10-29,14.6,180,85,2628.0,1241.0
T100192,E10001,C1000,S1110,Senior Associate,2025-11-05,11.6,180,85,2088.0,986.0
T100193,E10001,C1000,S1110,Senior Associate,2025-11-12,6.5,180,85,1170.0,552.5
T100194,E10001,C1000,S1110,Senior Associate,2025-11-19,12.4,180,85,2232.0,1054.0
T100195,E10001,C1000,S1110,Senior Associate,2025-11-26,9.2,180,85,1656.0,782.0
T100196,E10001,C1000,S1110,Senior Associate,2025-12-17,6.7,180,85,1206.0,569.5
T100197,E10001,C1000,S1110,Senior Associate,2025-12-24,3.8,180,85,684.0,323.0
T100198,E10001,C1000,S1110,Senior Associate,2025-12-31,7.1,180,85,1278.0,603.5
T100199,E10001,C1000,S1110,Senior Associate,2026-01-07,6.6,180,85,1188.0,561.0
T100200,E10001,C1000,S1110,Senior Associate,2026-01-14,11.1,180,85,1998.0,943.5
T100201,E10001,C1000,S1110,Senior Associate,2026-01-21,9.6,180,85,1728.0,816.0
T100202,E10001,C1000,S1110,Senior Associate,2026-01-28,6.9,180,85,1242.0,586.5
T100203,E10001,C1000,S1110,Senior Associate,2026-02-04,6.5,180,85,1170.0,552.5
T100204,E10001,C1000,S1110,Senior Associate,2026-02-11,6.5,180,85,1170.0,552.5
T100205,E10001,C1000,S1110,Senior Associate,2026-02-18,10.4,180,85,1872.0,884.0
T100206,E10001,C1000,S1110,Senior Associate,2026-02-25,3.5,180,85,630.0,297.5
T100207,E10001,C1000,S1110,Senior Associate,2026-03-04,11.6,180,85,2088.0,986.0
T100208,E10001,C1000,S1110,Senior Associate,2026-03-11,9.1,180,85,1638.0,773.5
T100209,E10001,C1000,S1110,Senior Associate,2026-03-18,11.4,180,85,2052.0,969.0
T100210,E10001,C1000,S1110,Senior Associate,2026-03-25,3.5,180,85,630.0,297.5
T100211,E10001,C1000,S1110,Senior Associate,2026-04-08,0.5,180,85,90.0,42.5
T100212,E10001,C1000,S1110,Senior Associate,2026-04-15,7.3,180,85,1314.0,620.5
T100213,E10001,C1000,S1110,Senior Associate,2026-04-22,8.6,180,85,1548.0,731.0
T100214,E10001,C1000,S1194,Associate,2025-10-01,4.8,130,60,624.0,288.0
T100215,E10001,C1000,S1194,Associate,2025-10-08,8.4,130,60,1092.0,504.0
T100216,E10001,C1000,S1194,Associate,2025-10-15,7.4,130,60,962.0,444.0
T100217,E10001,C1000,S1194,Associate,2025-10-22,6.4,130,60,832.0,384.0
T100218,E10001,C1000,S1194,Associate,2025-10-29,6.6,130,60,858.0,396.0
T100219,E10001,C1000,S1194,Associate,2025-11-05,8.9,130,60,1157.0,534.0
T100220,E10001,C1000,S1194,Associate,2025-11-12,4.4,130,60,572.0,264.0
T100221,E10001,C1000,S1194,Associate,2025-11-19,2.8,130,60,364.0,168.0
T100222,E10001,C1000,S1194,Associate,2025-12-03,11.4,130,60,1482.0,684.0
T100223,E10001,C1000,S1194,Associate,2025-12-10,5.1,130,60,663.0,306.0
T100224,E10001,C1000,S1194,Associate,2025-12-24,8.7,130,60,1131.0,522.0
T100225,E10001,C1000,S1194,Associate,2025-12-31,4.1,130,60,533.0,246.0
T100226,E10001,C1000,S1194,Associate,2026-01-07,5.1,130,60,663.0,306.0
T100227,E10001,C1000,S1194,Associate,2026-01-14,0.5,130,60,65.0,30.0
T100228,E10001,C1000,S1194,Associate,2026-01-21,5.1,130,60,663.0,306.0
T100229,E10001,C1000,S1194,Associate,2026-01-28,5.9,130,60,767.0,354.0
T100230,E10001,C1000,S1194,Associate,2026-02-04,6.5,130,60,845.0,390.0
T100231,E10001,C1000,S1194,Associate,2026-03-11,8.5,130,60,1105.0,510.0
T100232,E10001,C1000,S1194,Associate,2026-03-18,4.7,130,60,611.0,282.0
T100233,E10001,C1000,S1194,Associate,2026-03-25,5.0,130,60,650.0,300.0
T100234,E10001,C1000,S1194,Associate,2026-04-01,8.2,130,60,1066.0,492.0
T100235,E10001,C1000,S1194,Associate,2026-04-15,2.2,130,60,286.0,132.0
T100236,E10001,C1000,S1194,Associate,2026-04-22,9.2,130,60,1196.0,552.0
T100237,E10001,C1000,S1156,Associate,2025-10-15,7.3,130,60,949.0,438.0
T100238,E10001,C1000,S1156,Associate,2025-10-22,5.0,130,60,650.0,300.0
T100239,E10001,C1000,S1156,Associate,2025-10-29,5.8,130,60,754.0,348.0
T100240,E10001,C1000,S1156,Associate,2025-11-05,7.1,130,60,923.0,426.0
T100241,E10001,C1000,S1156,Associate,2025-11-12,8.3,130,60,1079.0,498.0
T100242,E10001,C1000,S1156,Associate,2025-11-26,8.6,130,60,1118.0,516.0
T100243,E10001,C1000,S1156,Associate,2025-12-03,5.3,130,60,689.0,318.0
T100244,E10001,C1000,S1156,Associate,2025-12-10,5.3,130,60,689.0,318.0
T100245,E10001,C1000,S1156,Associate,2025-12-17,8.7,130,60,1131.0,522.0
T100246,E10001,C1000,S1156,Associate,2025-12-24,5.6,130,60,728.0,336.0
T100247,E10001,C1000,S1156,Associate,2026-01-07,7.4,130,60,962.0,444.0
T100248,E10001,C1000,S1156,Associate,2026-01-14,7.0,130,60,910.0,420.0
T100249,E10001,C1000,S1156,Associate,2026-01-21,6.5,130,60,845.0,390.0
T100250,E10001,C1000,S1156,Associate,2026-01-28,11.5,130,60,1495.0,690.0
T100251,E10001,C1000,S1156,Associate,2026-02-04,0.5,130,60,65.0,30.0
T100252,E10001,C1000,S1156,Associate,2026-02-11,3.3,130,60,429.0,198.0
T100253,E10001,C1000,S1156,Associate,2026-02-18,5.3,130,60,689.0,318.0
T100254,E10001,C1000,S1156,Associate,2026-02-25,8.8,130,60,1144.0,528.0
T100255,E10001,C1000,S1156,Associate,2026-03-11,9.0,130,60,1170.0,540.0
T100256,E10001,C1000,S1156,Associate,2026-03-25,6.1,130,60,793.0,366.0
T100257,E10001,C1000,S1156,Associate,2026-04-01,4.9,130,60,637.0,294.0
T100258,E10001,C1000,S1156,Associate,2026-04-08,4.4,130,60,572.0,264.0
T100259,E10001,C1000,S1156,Associate,2026-04-15,4.4,130,60,572.0,264.0
T100260,E10001,C1000,S1156,Associate,2026-04-22,6.2,130,60,806.0,372.0
T100261,E10001,C1000,S1155,Associate,2025-10-01,11.5,130,60,1495.0,690.0
T100262,E10001,C1000,S1155,Associate,2025-10-15,5.4,130,60,702.0,324.0
T100263,E10001,C1000,S1155,Associate,2025-10-22,9.6,130,60,1248.0,576.0
T100264,E10001,C1000,S1155,Associate,2025-11-05,6.7,130,60,871.0,402.0
T100265,E10001,C1000,S1155,Associate,2025-11-12,5.9,130,60,767.0,354.0
T100266,E10001,C1000,S1155,Associate,2025-11-26,6.9,130,60,897.0,414.0
T100267,E10001,C1000,S1155,Associate,2025-12-03,7.4,130,60,962.0,444.0
T100268,E10001,C1000,S1155,Associate,2025-12-17,2.5,130,60,325.0,150.0
T100269,E10001,C1000,S1155,Associate,2025-12-24,6.1,130,60,793.0,366.0
T100270,E10001,C1000,S1155,Associate,2025-12-31,6.9,130,60,897.0,414.0
T100271,E10001,C1000,S1155,Associate,2026-01-14,6.9,130,60,897.0,414.0
T100272,E10001,C1000,S1155,Associate,2026-01-21,1.6,130,60,208.0,96.0
T100273,E10001,C1000,S1155,Associate,2026-01-28,5.6,130,60,728.0,336.0
T100274,E10001,C1000,S1155,Associate,2026-02-04,8.1,130,60,1053.0,486.0
T100275,E10001,C1000,S1155,Associate,2026-02-11,10.0,130,60,1300.0,600.0
T100276,E10001,C1000,S1155,Associate,2026-02-18,5.7,130,60,741.0,342.0
T100277,E10001,C1000,S1155,Associate,2026-03-18,4.9,130,60,637.0,294.0
T100278,E10001,C1000,S1155,Associate,2026-03-25,7.9,130,60,1027.0,474.0
T100279,E10001,C1000,S1155,Associate,2026-04-01,9.3,130,60,1209.0,558.0
T100280,E10001,C1000,S1155,Associate,2026-04-08,6.5,130,60,845.0,390.0
T100281,E10001,C1000,S1155,Associate,2026-04-22,6.4,130,60,832.0,384.0
T100282,E10001,C1000,S1162,Associate,2025-10-01,6.7,130,60,871.0,402.0
T100283,E10001,C1000,S1162,Associate,2025-10-08,5.5,130,60,715.0,330.0
T100284,E10001,C1000,S1162,Associate,2025-10-15,2.0,130,60,260.0,120.0
T100285,E10001,C1000,S1162,Associate,2025-10-22,5.8,130,60,754.0,348.0
T100286,E10001,C1000,S1162,Associate,2025-10-29,6.0,130,60,780.0,360.0
T100287,E10001,C1000,S1162,Associate,2025-11-05,6.0,130,60,780.0,360.0
T100288,E10001,C1000,S1162,Associate,2025-11-19,6.2,130,60,806.0,372.0
T100289,E10001,C1000,S1162,Associate,2025-11-26,4.9,130,60,637.0,294.0
T100290,E10001,C1000,S1162,Associate,2025-12-03,3.5,130,60,455.0,210.0
T100291,E10001,C1000,S1162,Associate,2025-12-10,9.5,130,60,1235.0,570.0
T100292,E10001,C1000,S1162,Associate,2025-12-17,6.6,130,60,858.0,396.0
T100293,E10001,C1000,S1162,Associate,2025-12-24,8.6,130,60,1118.0,516.0
T100294,E10001,C1000,S1162,Associate,2025-12-31,9.4,130,60,1222.0,564.0
T100295,E10001,C1000,S1162,Associate,2026-01-07,7.1,130,60,923.0,426.0
T100296,E10001,C1000,S1162,Associate,2026-01-14,6.7,130,60,871.0,402.0
T100297,E10001,C1000,S1162,Associate,2026-01-21,10.2,130,60,1326.0,612.0
T100298,E10001,C1000,S1162,Associate,2026-02-04,7.0,130,60,910.0,420.0
T100299,E10001,C1000,S1162,Associate,2026-02-11,6.3,130,60,819.0,378.0
T100300,E10001,C1000,S1162,Associate,2026-02-18,7.8,130,60,1014.0,468.0
T100301,E10001,C1000,S1162,Associate,2026-02-25,6.0,130,60,780.0,360.0
T100302,E10001,C1000,S1162,Associate,2026-03-04,6.3,130,60,819.0,378.0
T100303,E10001,C1000,S1162,Associate,2026-03-11,5.1,130,60,663.0,306.0
T100304,E10001,C1000,S1162,Associate,2026-03-18,4.6,130,60,598.0,276.0
T100305,E10001,C1000,S1162,Associate,2026-03-25,5.9,130,60,767.0,354.0
T100306,E10001,C1000,S1162,Associate,2026-04-01,2.2,130,60,286.0,132.0
T100307,E10001,C1000,S1162,Associate,2026-04-15,5.7,130,60,741.0,342.0
T100308,E10001,C1000,S1162,Associate,2026-04-22,7.4,130,60,962.0,444.0
T100309,E10002,C1001,S1011,Partner,2025-09-01,4.9,450,180,2205.0,882.0
